gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00325,73,0,0.0,True
GF_00326,162,0,0.0,True
GF_00327,99,0,0.0,True
GF_00328,147,0,0.0,True
GF_00329,82,0,0.0,True
GF_00330,209,111,0.5311004784688995,False
GF_00331,195,101,0.517948717948718,False
GF_00332,220,123,0.5590909090909091,False
GF_00333,255,125,0.49019607843137253,False
GF_00334,40,12,0.3,False
GF_00335,225,97,0.4311111111111111,False
GF_00336,93,79,0.8494623655913979,False
GF_00337,291,127,0.436426116838488,False
GF_00338,62,0,0.0,True
GF_00339,40,0,0.0,True
GF_00340,42,0,0.0,True
GF_00341,62,0,0.0,True
GF_00342,44,0,0.0,True
GF_00343,75,0,0.0,True
GF_00344,104,0,0.0,True
GF_00345,40,0,0.0,True
GF_00346,119,0,0.0,True
GF_00347,71,0,0.0,True
GF_00348,44,0,0.0,True
GF_00349,62,0,0.0,True
GF_00350,43,0,0.0,True
GF_00351,57,0,0.0,True
GF_00352,64,16,0.25,False
GF_00353,52,7,0.1346153846153846,False
GF_00354,52,13,0.25,False
GF_00355,40,17,0.425,False
GF_00356,48,7,0.14583333333333334,False
GF_00357,52,32,0.6153846153846154,False
GF_00358,48,13,0.2708333333333333,False
GF_00359,80,76,0.95,True
GF_00360,448,131,0.2924107142857143,False
GF_00361,147,0,0.0,True
GF_00362,52,0,0.0,True
GF_00363,44,4,0.09090909090909091,True
GF_00364,66,59,0.8939393939393939,False
GF_00365,238,115,0.4831932773109244,False
GF_00366,82,66,0.8048780487804879,False
GF_00367,63,14,0.2222222222222222,False
GF_00368,258,119,0.46124031007751937,False
GF_00369,55,54,0.9818181818181818,True
GF_00370,59,57,0.9661016949152542,True
GF_00371,68,66,0.9705882352941176,True
GF_00372,40,40,1.0,True
GF_00373,50,48,0.96,True
GF_00374,87,83,0.9540229885057471,True
GF_00375,77,15,0.19480519480519481,False
GF_00376,126,51,0.40476190476190477,False
GF_00377,125,97,0.776,False
GF_00378,41,11,0.2682926829268293,False
GF_00379,61,13,0.21311475409836064,False
GF_00380,55,13,0.23636363636363636,False
GF_00381,48,7,0.14583333333333334,False
GF_00382,159,106,0.6666666666666666,False
GF_00383,44,3,0.06818181818181818,True
GF_00384,57,8,0.14035087719298245,False
GF_00385,49,5,0.10204081632653061,False
GF_00386,83,26,0.3132530120481928,False
GF_00387,102,89,0.8725490196078431,False
GF_00388,102,22,0.21568627450980393,False
GF_00389,60,50,0.8333333333333334,False
GF_00390,164,95,0.5792682926829268,False
GF_00391,54,13,0.24074074074074073,False
GF_00392,217,110,0.5069124423963134,False
GF_00393,53,21,0.39622641509433965,False
GF_00394,51,11,0.21568627450980393,False
GF_00395,88,27,0.3068181818181818,False
GF_00396,92,32,0.34782608695652173,False
GF_00397,120,101,0.8416666666666667,False
GF_00398,45,15,0.3333333333333333,False
GF_00399,52,8,0.15384615384615385,False
GF_00400,63,42,0.6666666666666666,False
GF_00401,43,14,0.32558139534883723,False
GF_00402,241,126,0.5228215767634855,False
GF_00403,47,40,0.851063829787234,False
GF_00404,57,14,0.24561403508771928,False
GF_00405,58,13,0.22413793103448276,False
GF_00406,51,15,0.29411764705882354,False
GF_00407,251,115,0.4581673306772908,False
GF_00408,290,128,0.4413793103448276,False
GF_00409,50,0,0.0,True
GF_00410,95,0,0.0,True
GF_00411,142,0,0.0,True
GF_00412,71,0,0.0,True
GF_00413,41,0,0.0,True
GF_00414,93,0,0.0,True
GF_00415,44,0,0.0,True
GF_00416,51,0,0.0,True
GF_00417,56,0,0.0,True
GF_00418,145,0,0.0,True
GF_00419,147,0,0.0,True
GF_00420,77,0,0.0,True
GF_00421,49,0,0.0,True
GF_00422,70,0,0.0,True
GF_00423,54,0,0.0,True
GF_00424,56,0,0.0,True
