gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00431,209,206,118,91,62,0.5645933014354066
GF_00432,87,87,82,5,22,0.9425287356321839
GF_00433,40,40,40,0,12,1.0
GF_00434,47,47,46,1,13,0.9787234042553191
GF_00435,145,145,94,51,42,0.6482758620689655
GF_00436,57,57,55,2,13,0.9649122807017544
GF_00437,148,82,148,0,24,1.0
GF_00438,79,79,77,2,19,0.9746835443037974
GF_00439,88,88,78,10,30,0.8863636363636364
GF_00440,47,47,47,0,12,1.0
GF_00441,61,61,57,4,18,0.9344262295081968
GF_00442,47,47,46,1,10,0.9787234042553191
GF_00443,71,71,69,2,17,0.971830985915493
GF_00444,70,70,68,2,16,0.9714285714285714
GF_00445,41,41,39,2,13,0.9512195121951219
GF_00446,50,50,49,1,12,0.98
GF_00447,43,43,42,1,9,0.9767441860465116
GF_00448,63,63,61,2,12,0.9682539682539683
GF_00449,56,56,5,51,7,0.08928571428571429
GF_00450,41,40,19,22,14,0.4634146341463415
GF_00451,146,146,52,94,36,0.3561643835616438
GF_00452,79,79,77,2,18,0.9746835443037974
GF_00453,53,50,52,1,13,0.9811320754716981
GF_00454,54,44,37,17,12,0.6851851851851852
GF_00455,69,69,67,2,15,0.9710144927536232
GF_00456,71,71,69,2,15,0.971830985915493
GF_00457,113,113,90,23,36,0.7964601769911505
GF_00458,79,79,77,2,18,0.9746835443037974
GF_00459,98,92,0,98,4,0.0
GF_00460,77,77,0,77,4,0.0
GF_00461,68,68,0,68,3,0.0
GF_00462,77,77,0,77,3,0.0
GF_00463,79,79,0,79,4,0.0
GF_00464,73,73,0,73,3,0.0
GF_00465,120,120,0,120,4,0.0
GF_00466,94,93,0,94,4,0.0
GF_00467,147,147,0,147,4,0.0
GF_00468,91,91,0,91,4,0.0
GF_00469,44,44,0,44,3,0.0
GF_00470,93,93,0,93,4,0.0
GF_00471,73,73,71,2,18,0.9726027397260274
GF_00472,65,65,63,2,15,0.9692307692307692
GF_00473,51,51,49,2,12,0.9607843137254902
GF_00474,56,55,54,2,16,0.9642857142857143
GF_00475,84,84,82,2,19,0.9761904761904762
GF_00476,80,80,75,5,21,0.9375
GF_00477,51,51,49,2,12,0.9607843137254902
GF_00478,45,45,43,2,9,0.9555555555555556
GF_00479,71,71,69,2,16,0.971830985915493
GF_00480,54,54,53,1,13,0.9814814814814815
GF_00481,46,46,45,1,9,0.9782608695652174
GF_00482,46,46,45,1,9,0.9782608695652174
GF_00483,47,47,46,1,10,0.9787234042553191
GF_00484,67,67,65,2,15,0.9701492537313433
GF_00485,79,79,77,2,19,0.9746835443037974
GF_00486,42,42,41,1,8,0.9761904761904762
GF_00487,54,54,53,1,13,0.9814814814814815
GF_00488,48,48,46,2,12,0.9583333333333334
GF_00489,50,50,49,1,11,0.98
GF_00490,56,56,48,8,19,0.8571428571428571
GF_00491,82,82,80,2,20,0.975609756097561
GF_00492,89,89,85,4,23,0.9550561797752809
GF_00493,41,41,40,1,9,0.975609756097561
GF_00494,77,77,65,12,21,0.8441558441558441
GF_00495,44,44,43,1,11,0.9772727272727273
GF_00496,48,48,47,1,10,0.9791666666666666
GF_00497,54,54,53,1,13,0.9814814814814815
GF_00498,56,56,32,24,20,0.5714285714285714
GF_00499,44,44,43,1,13,0.9772727272727273
GF_00500,40,40,40,0,10,1.0
GF_00501,66,66,64,2,13,0.9696969696969697
GF_00502,47,47,46,1,12,0.9787234042553191
GF_00503,68,68,66,2,16,0.9705882352941176
